participant_id,Age,Gender,Race,Hispanic
1624,21.73,Male,Mixed Race,N
1724,25.86,Male,Mixed Race,Y
1539,25.53,Male,Mixed Race,Y
1756,25.5,Female,Caucasian/White,N
1780,18.41,Male,Caucasian/White,N
1685,18.51,Male,Caucasian/White,N
1811,20.97,Male,Asian,N
2144,13.95,Female,Asian,N
813,13.01,Female,Caucasian/White,N
1962,17.32,Male,Caucasian/White,N
1980,14.34,Male,Caucasian/White,N
2148,19.48,Male,Asian,N
2190,23.67,Male,Caucasian/White,N
2430,19.65,Male,Asian,N
1801,23.02,Male,Caucasian/White,N
2712,23.62,Male,Asian,N
