participant_id,age,option,choice,identity,reward_1,reward_2,reward_3,probed_identity,probed_reward,context_rwd,trial_n
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22308.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.16666666666666666,22310.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.125,22312.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.16666666666666666,22314.0
22.0,9.06,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22315.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,22317.0
22.0,9.06,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22318.0
22.0,9.06,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22319.0
22.0,9.06,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22320.0
22.0,9.06,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,22321.0
22.0,9.06,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,22322.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,22324.0
22.0,9.06,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22325.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22327.0
22.0,9.06,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22328.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.16666666666666666,22330.0
22.0,9.06,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,22331.0
22.0,9.06,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22332.0
22.0,9.06,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22333.0
22.0,9.06,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22334.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.125,22336.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,22338.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,22340.0
22.0,9.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22341.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22342.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22343.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-0.1111111111111111,22345.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,-0.1111111111111111,22347.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22348.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22349.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22350.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.1111111111111111,22352.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,22354.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-0.1111111111111111,22356.0
22.0,9.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22357.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22358.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,22359.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22360.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22361.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.16666666666666666,22363.0
22.0,9.06,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22364.0
22.0,9.06,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22365.0
