"participant_id","Intercept","reward_1","reward_2","reward_3","probed_identity","probed_reward","context_rwd","mb_effect","age","gender","ldi","age_z","age_group"
22,0.123839792233147,-0.253607880936525,-0.166758014041906,-0.140586380913734,0.994953029901277,0.201895590678299,-0.373010780938986,-0.073396313,"9.106849315","Male",0.466733871,-1.53756598560499,"adult"
29,0.0736655653652641,-0.469647138554612,-0.00828497999404973,0.138795217110932,-0.176393346452856,0.055427807610515,0.42568439049919,0.384848104,"11.08493151","Male",0.46875,-1.14671265050511,"child"
42,-0.0714146283129046,0.180481383696473,0.194035217761445,0.205724832739431,-0.026711160406227,-0.031273916212659,-0.082862233863004,0.13623348,"20.82739726","Female",0.15625,0.778321223268707,"adult"
70,-0.217079983774172,0.890361600366591,0.377021518332487,0.18823504217614,-0.161073776581254,-0.0243121449598469,-0.173634572051507,0.502417239,"22.25753425","Female",0.53125,1.0609049367282,"adult"
71,0.0348248632257553,-0.104515091216827,0.0204069296317033,0.0975838196571022,0.216647144880828,0.144342408106984,0.202248982649353,0.196227515,"17.12054795","Female",0.28125,0.0458772332320873,"adolescent"
72,0.00812566060344482,0.01139854636755,-0.0671467976664232,-0.114565241648983,0.209287720149737,-0.0786604599437765,-0.398536049723985,0.098820673,"12.24383562","Female",0.195564516,-0.917722400454122,"child"
124,-0.0867719164592026,0.185336220488917,0.271114042335822,0.281404958836797,-0.171120872733377,0.0083048076381549,0.119935829298512,0.388322065,"12.49863014","Male",0.379166667,-0.86737702645556,"child"
132,0.0807730219876283,-0.467660946869758,-0.263432054570915,-0.238505885803093,-0.212760509342229,-0.301787788400243,-0.416262071420213,0.157979704,"14.88767123","Female",0.125,-0.395321476854317,"adolescent"
136,0.142669263886979,-0.636167867343645,-0.219923194120378,-0.123706085714403,0.00623798742714583,0.0194787738767386,0.180735459047562,0.352109056,"14.47945205","Male",0.5625,-0.475982345425928,"adolescent"
139,0.00877143861257986,-0.324155449495721,0.106591832011016,0.191603746416343,0.0638629371355648,-0.157404103491764,-0.365956368244233,0.378000551,"12.42191781","Female",0.5625,-0.882534773742083,"child"
171,0.0204514964440316,-0.0756004464173572,-0.0884260592868808,-0.169204349049935,0.0887005480714048,-0.0959342343480128,-0.354230852234575,0.063005169,"8.090410959","Male",0.168817204,-1.73840613389117,"adult"
179,0.00149750407772462,-0.19946726405522,0.115793182687316,0.150851453523888,0.0533730073256881,-0.050163736217745,-0.157838115474725,0.713813831,"20.98082192","Female",0.625,0.808636717841755,"adult"
190,0.0178898970358324,-0.15605848524669,-0.027991337218468,0.00778570884472862,-0.198998733564597,-0.0463168829978697,0.113489916172204,0.399178722,"12.3890411","Male",0.3125,-0.889030950586045,"child"
220,0.0838055797831959,-0.338200818579989,-0.197377680928374,-0.209568889394544,-0.281456212517779,0.000451904092418016,0.292071190473693,0.197132133,"19.27945205","Female",0.84375,0.472459540973758,"adult"
229,-0.0428533030690808,0.208654777767739,0.0579709678557035,0.0741094075017725,-0.404890572917053,0.0919386331300113,0.578963127123291,0.663113641,"10.4739726","Female",0.34375,-1.26743327990367,"child"
247,-0.027739576400178,0.222937945513091,0.0831186804193009,0.100642240811613,0.0701690776867226,0.169473625324408,0.322426297918198,0.661078336,"17.45205479","Male",0.21875,0.111380352541254,"adolescent"
293,-0.0258686911557839,0.111970126107882,-0.00421340812264426,-0.0571866578700984,-0.0768768231157789,-0.0655172424919957,-0.129078330057755,-0.152416616,"19.79178082","Female",0.15625,0.573691637864514,"adult"
337,0.166382929253688,-0.688215423469551,-0.296953878402907,-0.167833202769354,0.13140362335718,-0.00409490855312211,0.0611956760523941,0.042875815,"25.37808219","Male",0.061491935,1.67750043148117,"adult"
386,0.119375778773017,-0.438393921447418,-0.260283999425041,-0.185097653833075,0.00996239473454065,0.00421792869310915,0.131548203776705,0.501680747,"25.33424658","Female",0.1875,1.66883886301453,"adult"
392,-0.24249323697091,0.928316062872731,0.539181827161126,0.355435478459771,-0.0104309402110356,0.0504510903842089,-0.171140175509097,0.587756148,"18.89589041","Female",0.3125,0.396670806517058,"adult"
395,-0.0243460870362795,0.0819042507258297,0.00514227636147942,-0.0165411061065646,-0.344161030818227,-0.0149094548556089,0.256155433145581,0.78731518,"22.67945205","Female",0.875,1.1442725438402,"adult"
401,0.102631265569619,-0.397246653223568,-0.163490894615112,-0.108780159874926,0.154204300062234,0.0455032831567832,0.054586875913257,-0.170008129,"9.909589041","Female",0.166330645,-1.37895098976845,"adult"
421,0.0380194599473375,-0.0804359570263029,0.121434864877618,0.200355886162675,0.557908292879453,0.290955747177138,0.208673783198931,0.459587909,"19.52054795","Female",0.34375,0.520098176431931,"adult"
423,-0.0175142980695772,0.105775324713926,-0.045718143753826,-0.16792023014884,0.326021843221912,-0.164850401593594,-0.776423726728335,-0.062564786,"20.10410959","Female",0.216733871,0.63540532282195,"adult"
463,0.0448797049817594,-0.0195762184395393,-0.19669261036433,-0.199803819710595,-0.241869844333552,0.0674070294190549,0.417184264747943,0.483478941,"19.34246575","Female",0.8125,0.484910547743971,"adult"
