"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","41801","0.0-0.0","","","","","","","","","","",""
"","pavlovia","1","41808","0.0-1.0","","","","","","","","","","",""
"","welcome","2","78858","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","163","385","8","Male","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","79717","0.0-3.0","851.7999999970198","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","81283","0.0-4.0","1561.7999999970198","run_exp/static/images/Set 6_rs/010a.jpg","78","","","","","","learn","SR",""
"","show_choice","5","81730","0.0-5.0","null","run_exp/static/images/Set 6_rs/010a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","6","82243","0.0-6.0","null","<p></p>","null","","","","","","","",""
"","image","7","83866","0.0-7.0","1620.4000000059605","run_exp/static/images/Set 6_rs/134a.jpg","86","","","","","","learn","SR",""
"","show_choice","8","84256","0.0-8.0","null","run_exp/static/images/Set 6_rs/134a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","9","84761","0.0-9.0","null","<p></p>","null","","","","","","","",""
"","image","10","85843","0.0-10.0","1079.2999999970198","run_exp/static/images/Set 6_rs/014a.jpg","86","","","","","","learn","SL",""
"","show_choice","11","86769","0.0-11.0","null","run_exp/static/images/Set 6_rs/014a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","12","87271","0.0-12.0","null","<p></p>","null","","","","","","","",""
"","image","13","89281","0.0-13.0","null","run_exp/static/images/Set 6_rs/122a.jpg","null","","","","","","learn","SR",""
"","show_choice","14","91284","0.0-14.0","null","run_exp/static/images/blank.png","null","","","","","","learn","SR",""
"","html-keyboard-response","15","91790","0.0-15.0","null","<p></p>","null","","","","","","","",""
"","image","16","92935","0.0-16.0","1141.7999999970198","run_exp/static/images/Set 6_rs/036a.jpg","86","","","","","","learn","SL",""
"","show_choice","17","93799","0.0-17.0","null","run_exp/static/images/Set 6_rs/036a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","94302","0.0-18.0","null","<p></p>","null","","","","","","","",""
"","image","19","96176","0.0-19.0","1871.2999999970198","run_exp/static/images/Set 6_rs/061a.jpg","78","","","","","","learn","SR",""
"","show_choice","20","96310","0.0-20.0","null","run_exp/static/images/Set 6_rs/061a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","96815","0.0-21.0","null","<p></p>","null","","","","","","","",""
"","image","22","98156","0.0-22.0","1338.2999999970198","run_exp/static/images/Set 6_rs/050a.jpg","86","","","","","","learn","SL",""
"","show_choice","23","98821","0.0-23.0","null","run_exp/static/images/Set 6_rs/050a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","24","99326","0.0-24.0","null","<p></p>","null","","","","","","","",""
"","image","25","100599","0.0-25.0","1270.2999999970198","run_exp/static/images/Set 6_rs/075a.jpg","86","","","","","","learn","SR",""
"","show_choice","26","101332","0.0-26.0","null","run_exp/static/images/Set 6_rs/075a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","27","101835","0.0-27.0","null","<p></p>","null","","","","","","","",""
"","image","28","103233","0.0-28.0","1395.7000000029802","run_exp/static/images/Set 6_rs/123a.jpg","78","","","","","","learn","SL",""
"","show_choice","29","103851","0.0-29.0","null","run_exp/static/images/Set 6_rs/123a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","30","104360","0.0-30.0","null","<p></p>","null","","","","","","","",""
"","image","31","105721","0.0-31.0","1359.9000000059605","run_exp/static/images/Set 6_rs/138a.jpg","78","","","","","","learn","SL",""
"","show_choice","32","106367","0.0-32.0","null","run_exp/static/images/Set 6_rs/138a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","33","106874","0.0-33.0","null","<p></p>","null","","","","","","","",""
"","image","34","108487","0.0-34.0","1610.5999999940395","run_exp/static/images/Set 6_rs/108a.jpg","78","","","","","","learn","SR",""
"","show_choice","35","108881","0.0-35.0","null","run_exp/static/images/Set 6_rs/108a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","36","109384","0.0-36.0","null","<p></p>","null","","","","","","","",""
"","image","37","110696","0.0-37.0","1309.4000000059605","run_exp/static/images/Set 6_rs/167a.jpg","86","","","","","","learn","SL",""
"","show_choice","38","111399","0.0-38.0","null","run_exp/static/images/Set 6_rs/167a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","39","111905","0.0-39.0","null","<p></p>","null","","","","","","","",""
"","image","40","113237","0.0-40.0","1329.7000000029802","run_exp/static/images/Set 6_rs/131a.jpg","86","","","","","","learn","SR",""
"","show_choice","41","113925","0.0-41.0","null","run_exp/static/images/Set 6_rs/131a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","42","114428","0.0-42.0","null","<p></p>","null","","","","","","","",""
"","image","43","115723","0.0-43.0","1292.5","run_exp/static/images/Set 6_rs/144a.jpg","86","","","","","","learn","SL",""
"","show_choice","44","116445","0.0-44.0","null","run_exp/static/images/Set 6_rs/144a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","45","116961","0.0-45.0","null","<p></p>","null","","","","","","","",""
"","image","46","118018","0.0-46.0","1055.3999999910593","run_exp/static/images/Set 6_rs/025a.jpg","78","","","","","","learn","SL",""
"","show_choice","47","118974","0.0-47.0","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","48","119488","0.0-48.0","null","<p></p>","null","","","","","","","",""
"","image","49","120979","0.0-49.0","1489","run_exp/static/images/Set 6_rs/117a.jpg","86","","","","","","learn","SL",""
"","show_choice","50","121493","0.0-50.0","null","run_exp/static/images/Set 6_rs/117a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","51","121996","0.0-51.0","null","<p></p>","null","","","","","","","",""
