"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","5757","0.0-0.0","","","","","","","","","","",""
"","pavlovia","1","5762","0.0-1.0","","","","","","","","","","",""
"","welcome","2","41479","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","55","18","8","female","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","116459","0.0-3.0","74981.69999999553","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","118462","0.0-4.0","null","run_exp/static/images/Set 6_rs/055a.jpg","null","","","","","","learn","SL",""
"","show_choice","5","120464","0.0-5.0","null","run_exp/static/images/blank.png","null","","","","","","learn","SL",""
"","html-keyboard-response","6","120970","0.0-6.0","null","<p></p>","null","","","","","","","",""
"","image","7","122127","0.0-7.0","1155.6000000014901","run_exp/static/images/Set 6_rs/126a.jpg","86","","","","","","learn","SR",""
"","show_choice","8","122974","0.0-8.0","null","run_exp/static/images/Set 6_rs/126a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","9","123480","0.0-9.0","null","<p></p>","null","","","","","","","",""
"","image","10","124591","0.0-10.0","1110.1000000014901","run_exp/static/images/Set 6_rs/122a.jpg","86","","","","","","learn","SR",""
"","show_choice","11","125485","0.0-11.0","null","run_exp/static/images/Set 6_rs/122a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","12","125990","0.0-12.0","null","<p></p>","null","","","","","","","",""
"","image","13","126942","0.0-13.0","951.2999999970198","run_exp/static/images/Set 6_rs/025a.jpg","78","","","","","","learn","SL",""
"","show_choice","14","127994","0.0-14.0","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","15","128499","0.0-15.0","null","<p></p>","null","","","","","","","",""
"","image","16","129472","0.0-16.0","971.8999999985099","run_exp/static/images/Set 6_rs/138a.jpg","78","","","","","","learn","SL",""
"","show_choice","17","130505","0.0-17.0","null","run_exp/static/images/Set 6_rs/138a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","131011","0.0-18.0","null","<p></p>","null","","","","","","","",""
"","image","19","132365","0.0-19.0","1353.8999999985099","run_exp/static/images/Set 6_rs/148a.jpg","86","","","","","","learn","SR",""
"","show_choice","20","133016","0.0-20.0","null","run_exp/static/images/Set 6_rs/148a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","133520","0.0-21.0","null","<p></p>","null","","","","","","","",""
"","image","22","134333","0.0-22.0","812.7000000029802","run_exp/static/images/Set 6_rs/064a.jpg","86","","","","","","learn","SR",""
"","show_choice","23","135524","0.0-23.0","null","run_exp/static/images/Set 6_rs/064a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","24","136030","0.0-24.0","null","<p></p>","null","","","","","","","",""
"","image","25","137197","0.0-25.0","1166.5","run_exp/static/images/Set 6_rs/144a.jpg","86","","","","","","learn","SL",""
"","show_choice","26","138035","0.0-26.0","null","run_exp/static/images/Set 6_rs/144a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","27","138540","0.0-27.0","null","<p></p>","null","","","","","","","",""
"","image","28","139663","0.0-28.0","1121.6000000014901","run_exp/static/images/Set 6_rs/177a.jpg","78","","","","","","learn","SR",""
"","show_choice","29","140546","0.0-29.0","null","run_exp/static/images/Set 6_rs/177a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","30","141050","0.0-30.0","null","<p></p>","null","","","","","","","",""
"","image","31","142126","0.0-31.0","1075.5","run_exp/static/images/Set 6_rs/006a.jpg","86","","","","","","learn","SL",""
"","show_choice","32","143055","0.0-32.0","null","run_exp/static/images/Set 6_rs/006a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","33","143559","0.0-33.0","null","<p></p>","null","","","","","","","",""
"","image","34","144566","0.0-34.0","1006.1999999955297","run_exp/static/images/Set 6_rs/045a.jpg","86","","","","","","learn","SR",""
