"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt"
"true","fullscreen","0","2145","0.0-0.0","","","","","","","",""
"","pavlovia","1","2150","0.0-1.0","","","","","","","",""
"","welcome","2","37809","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","66","230","11","female","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>"
