"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","3101","0.0-0.0","","","","","","","","","","",""
"","pavlovia","1","3105","0.0-1.0","","","","","","","","","","",""
"","welcome","2","38870","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","67","521","10","male","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","39764","0.0-3.0","892.8000000007451","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","41771","0.0-4.0","null","run_exp/static/images/Set 6_rs/089a.jpg","null","","","","","","learn","SL",""
"","show_choice","5","43773","0.0-5.0","null","run_exp/static/images/blank.png","null","","","","","","learn","SL",""
"","html-keyboard-response","6","44279","0.0-6.0","null","<p></p>","null","","","","","","","",""
"","image","7","45364","0.0-7.0","1083.9000000022352","run_exp/static/images/Set 6_rs/064a.jpg","86","","","","","","learn","SR",""
"","show_choice","8","46285","0.0-8.0","null","run_exp/static/images/Set 6_rs/064a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","9","46789","0.0-9.0","null","<p></p>","null","","","","","","","",""
"","image","10","47780","0.0-10.0","990.3999999985099","run_exp/static/images/Set 6_rs/150a.jpg","86","","","","","","learn","SR",""
"","show_choice","11","48794","0.0-11.0","null","run_exp/static/images/Set 6_rs/150a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","12","49299","0.0-12.0","null","<p></p>","null","","","","","","","",""
"","image","13","50884","0.0-13.0","1583.3999999985099","run_exp/static/images/Set 6_rs/075a.jpg","78","","","","","","learn","SR",""
"","show_choice","14","51304","0.0-14.0","null","run_exp/static/images/Set 6_rs/075a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","15","51805","0.0-15.0","null","<p></p>","null","","","","","","","",""
"","image","16","53107","0.0-16.0","1301.199999999255","run_exp/static/images/Set 6_rs/016a.jpg","86","","","","","","learn","SL",""
"","show_choice","17","53808","0.0-17.0","null","run_exp/static/images/Set 6_rs/016a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","18","54311","0.0-18.0","null","<p></p>","null","","","","","","","",""
"","image","19","55812","0.0-19.0","1500.5","run_exp/static/images/Set 6_rs/085a.jpg","78","","","","","","learn","SL",""
"","show_choice","20","56317","0.0-20.0","null","run_exp/static/images/Set 6_rs/085a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","21","56823","0.0-21.0","null","<p></p>","null","","","","","","","",""
"","image","22","58325","0.0-22.0","1500.6000000014901","run_exp/static/images/Set 6_rs/108a.jpg","86","","","","","","learn","SR",""
"","show_choice","23","58829","0.0-23.0","null","run_exp/static/images/Set 6_rs/108a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","24","59332","0.0-24.0","null","<p></p>","null","","","","","","","",""
"","image","25","60260","0.0-25.0","928","run_exp/static/images/Set 6_rs/181a.jpg","78","","","","","","learn","SL",""
"","show_choice","26","61334","0.0-26.0","null","run_exp/static/images/Set 6_rs/181a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","27","61837","0.0-27.0","null","<p></p>","null","","","","","","","",""
"","image","28","63172","0.0-28.0","1334.1000000014901","run_exp/static/images/Set 6_rs/166a.jpg","78","","","","","","learn","SR",""
"","show_choice","29","63843","0.0-29.0","null","run_exp/static/images/Set 6_rs/166a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","30","64349","0.0-30.0","null","<p></p>","null","","","","","","","",""
"","image","31","65293","0.0-31.0","942.2999999970198","run_exp/static/images/Set 6_rs/017a.jpg","86","","","","","","learn","SL",""
"","show_choice","32","66353","0.0-32.0","null","run_exp/static/images/Set 6_rs/017a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","33","66858","0.0-33.0","null","<p></p>","null","","","","","","","",""
"","image","34","67580","0.0-34.0","721.1999999992549","run_exp/static/images/Set 6_rs/123a.jpg","86","","","","","","learn","SL",""
"","show_choice","35","68865","0.0-35.0","null","run_exp/static/images/Set 6_rs/123a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","36","69371","0.0-36.0","null","<p></p>","null","","","","","","","",""
"","image","37","70909","0.0-37.0","1537.300000000745","run_exp/static/images/Set 6_rs/148a.jpg","86","","","","","","learn","SR",""
"","show_choice","38","71374","0.0-38.0","null","run_exp/static/images/Set 6_rs/148a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","39","71876","0.0-39.0","null","<p></p>","null","","","","","","","",""
"","image","40","73261","0.0-40.0","1383.5","run_exp/static/images/Set 6_rs/134a.jpg","86","","","","","","learn","SR",""
"","show_choice","41","73879","0.0-41.0","null","run_exp/static/images/Set 6_rs/134a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","42","74385","0.0-42.0","null","<p></p>","null","","","","","","","",""
"","image","43","75365","0.0-43.0","978.6999999992549","run_exp/static/images/Set 6_rs/169a.jpg","78","","","","","","learn","SR",""
"","show_choice","44","76387","0.0-44.0","null","run_exp/static/images/Set 6_rs/169a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","45","76890","0.0-45.0","null","<p></p>","null","","","","","","","",""
"","image","46","77941","0.0-46.0","1049.6000000014901","run_exp/static/images/Set 6_rs/062a.jpg","86","","","","","","learn","SL",""
"","show_choice","47","78892","0.0-47.0","null","run_exp/static/images/Set 6_rs/062a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","48","79396","0.0-48.0","null","<p></p>","null","","","","","","","",""
"","image","49","80157","0.0-49.0","760.2000000029802","run_exp/static/images/Set 6_rs/116a.jpg","78","","","","","","learn","SL",""
"","show_choice","50","81402","0.0-50.0","null","run_exp/static/images/Set 6_rs/116a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","51","81908","0.0-51.0","null","<p></p>","null","","","","","","","",""
"","image","52","82853","0.0-52.0","944.8000000007451","run_exp/static/images/Set 6_rs/095a.jpg","86","","","","","","learn","SL",""
"","show_choice","53","83909","0.0-53.0","null","run_exp/static/images/Set 6_rs/095a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","54","84415","0.0-54.0","null","<p></p>","null","","","","","","","",""
"","image","55","85277","0.0-55.0","860.9000000022352","run_exp/static/images/Set 6_rs/007a.jpg","86","","","","","","learn","SR",""
