"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"true","fullscreen","0","3136","0.0-0.0","","","","","","","","","","",""
"","pavlovia","1","3143","0.0-1.0","","","","","","","","","","",""
"","welcome","2","38930","0.0-2.0","null","run_exp/static/audio/clip_1_welcome.m4a","null","61","73","11","female","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p></div>","","",""
"","html-keyboard-response","3","39619","0.0-3.0","685.5","<div class='center'><p>This is your last game of the experiment! First, you'll be shown pictures of items one at a time. For each picture, you have to decide if the item is typically found indoors or outdoors.</p><p>If you think it's usually found indoors, then press <b>v</b> key on your keyboard. If you think it's usually found outdoors, then press the <b>n</b> key.There will be reminders on the screen to help you remember which keys to press. </p><p>If you're not sure whether the item is an indoor item or outdoor item, go ahead and take a guess but try your best not to skip that choice. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","image","4","41623","0.0-4.0","null","run_exp/static/images/Set 6_rs/010a.jpg","null","","","","","","learn","SR",""
"","show_choice","5","43635","0.0-5.0","null","run_exp/static/images/blank.png","null","","","","","","learn","SR",""
"","html-keyboard-response","6","44147","0.0-6.0","null","<p></p>","null","","","","","","","",""
"","image","7","45158","0.0-7.0","1008.5","run_exp/static/images/Set 6_rs/057a.jpg","86","","","","","","learn","SL",""
"","show_choice","8","46160","0.0-8.0","null","run_exp/static/images/Set 6_rs/057a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","9","46672","0.0-9.0","null","<p></p>","null","","","","","","","",""
"","image","10","48568","0.0-10.0","1894.300000011921","run_exp/static/images/Set 6_rs/134a.jpg","78","","","","","","learn","SR",""
"","show_choice","11","48678","0.0-11.0","null","run_exp/static/images/Set 6_rs/134a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","12","49185","0.0-12.0","null","<p></p>","null","","","","","","","",""
"","image","13","50279","0.0-13.0","1091.6000000238419","run_exp/static/images/Set 6_rs/178a.jpg","78","","","","","","learn","SR",""
"","show_choice","14","51201","0.0-14.0","null","run_exp/static/images/Set 6_rs/178a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","15","51716","0.0-15.0","null","<p></p>","null","","","","","","","",""
"","image","16","53048","0.0-16.0","1329.7999999523163","run_exp/static/images/Set 6_rs/152a.jpg","86","","","","","","learn","SR",""
"","show_choice","17","53731","0.0-17.0","null","run_exp/static/images/Set 6_rs/152a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","18","54245","0.0-18.0","null","<p></p>","null","","","","","","","",""
"","image","19","55528","0.0-19.0","1280.5999999642372","run_exp/static/images/Set 6_rs/132a.jpg","78","","","","","","learn","SR",""
"","show_choice","20","56263","0.0-20.0","null","run_exp/static/images/Set 6_rs/132a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","21","56764","0.0-21.0","null","<p></p>","null","","","","","","","",""
"","image","22","58047","0.0-22.0","1281.3999999761581","run_exp/static/images/Set 6_rs/023a.jpg","86","","","","","","learn","SR",""
"","show_choice","23","58767","0.0-23.0","null","run_exp/static/images/Set 6_rs/023a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","24","59284","0.0-24.0","null","<p></p>","null","","","","","","","",""
"","image","25","60118","0.0-25.0","832.8000000119209","run_exp/static/images/Set 6_rs/025a.jpg","78","","","","","","learn","SL",""
"","show_choice","26","61288","0.0-26.0","null","run_exp/static/images/Set 6_rs/025a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","27","61804","0.0-27.0","null","<p></p>","null","","","","","","","",""
"","image","28","63079","0.0-28.0","1272.4000000357628","run_exp/static/images/Set 6_rs/006a.jpg","86","","","","","","learn","SL",""
"","show_choice","29","63809","0.0-29.0","null","run_exp/static/images/Set 6_rs/006a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","30","64311","0.0-30.0","null","<p></p>","null","","","","","","","",""
"","image","31","65108","0.0-31.0","795.1999999880791","run_exp/static/images/Set 6_rs/112a.jpg","86","","","","","","learn","SR",""
"","show_choice","32","66313","0.0-32.0","null","run_exp/static/images/Set 6_rs/112a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","33","66815","0.0-33.0","null","<p></p>","null","","","","","","","",""
"","image","34","67438","0.0-34.0","621.3000000119209","run_exp/static/images/Set 6_rs/116a.jpg","78","","","","","","learn","SL",""
"","show_choice","35","68828","0.0-35.0","null","run_exp/static/images/Set 6_rs/116a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","36","69343","0.0-36.0","null","<p></p>","null","","","","","","","",""
"","image","37","70869","0.0-37.0","1523.9000000357628","run_exp/static/images/Set 6_rs/131a.jpg","86","","","","","","learn","SR",""
