success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,subject_id,key_press,response,choice_outcomes,context_n,context_img_id,trial_n,probe_img_id,pR_red,pR_white,pR_black,outcome,is_valid,image_to_show,probed_trial,probed_context,correct,context_id
TRUE,fullscreen,0,4845,0.0-0.0,,,,,,,,,,,,,,,,,,,,
,pavlovia,1,4858,0.0-1.0,,,,,,,,,,,,,,,,,,,,
,html-keyboard-response,2,33268,0.0-2.0,28407.46,"<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>",5aa9e691f0536100014124f9,32,,,,,,,,,,,,,,,,
,html-keyboard-response,3,49326,0.0-3.0,16055.705,"<div class='center'><p>You’ve arrived at the final island of your journey! Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the previous islands you've visited.</p><p>You’ll still be deciding which pirate you want to rob a ship like before. However, because of the fog, you also won’t be able to see the ship.</p><p>This means you do not have to remember the ships you rob on this island.</p><p><b>[Press the space bar to continue]</b></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,4,61537,0.0-4.0,12206.745,"<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><b>[Press the space bar to continue]</b></p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,5,74558,0.0-5.0,13018.025,"<div class='center'><p> You will press the 5, 6, 7, 8 buttons on your keyboard to respond.</p><p>If you are very sure saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you  saw it before but are not sure, then press <b>6</b>.</p><p> If you think you have not seen it before but are not sure, then press <b>7</b>.</p><p> If you are sure you did not see the ship before, then press <b>8</b>.</p><p><b>[Press the space bar to continue]</b></p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,6,85175,0.0-6.0,10613.85,"<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p><p><b>[Press the space bar to continue]</b></p></div>",,32,,,,,,,,,,,,,,,,
,html-keyboard-response,7,94428,0.0-7.0,9250.225,"<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw the ship. </p><p><b>[Press the space bar to begin the next part of the study]</b></p></div>",,32,,,,,,,,,,,,,,,,
,do_welcome,8,95981,0.0-8.0,null,,,,null,,,,,,,,,,,,,,,
,do_trial,9,100174,0.0-9.0-0.0,1571.18,,,,50,"1,0,1",6,blank,230,null,0.500694319,0.132491061,0.613079732,0,,,,,,
,html-keyboard-response,10,101178,0.0-9.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,11,105730,0.0-10.0-0.0,1933.41,,,,49,"0,0,1",6,blank,231,null,0.545852552,0.104680926,0.581014763,0,,,,,,
,html-keyboard-response,12,106733,0.0-10.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,13,110665,0.0-11.0-0.0,1327.875,,,,50,"1,0,0",6,blank,232,null,0.490502423,0.099772746,0.584067324,0,,,,,,
,html-keyboard-response,14,111668,0.0-11.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,15,114862,0.0-12.0-0.0,589.87,,,,51,"0,0,0",6,blank,233,null,0.337619265,0.167573554,0.640753668,0,,,,,,
,html-keyboard-response,16,115865,0.0-12.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,17,119294,0.0-13.0-0.0,824.82,,,,49,"1,0,0",6,blank,234,null,0.464515587,0.154384081,0.441311614,1,,,,,,
,html-keyboard-response,18,120296,0.0-13.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,19,124309,0.0-14.0-0.0,1409.8,,,,49,"1,0,1",6,blank,235,null,0.447207919,0.113237726,0.442782069,1,,,,,,
,html-keyboard-response,20,125311,0.0-14.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,21,128687,0.0-15.0-0.0,772.48,,,,49,"0,0,1",6,blank,236,null,0.406736068,0.093169054,0.610398057,0,,,,,,
,html-keyboard-response,22,129690,0.0-15.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,23,132826,0.0-16.0-0.0,533.52,,,,51,"1,0,0",6,blank,237,null,0.494229416,0.064399133,0.648785231,0,,,,,,
,html-keyboard-response,24,133831,0.0-16.0-1.0,null,<p></p>,,null,,,,,,,,,,,,,,,,
,do_trial,25,136968,0.0-17.0-0.0,532.17,,,,49,"1,0,1",6,blank,238,null,0.494110888,0.110905232,0.545351812,1,,,,,,
