"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","context_id"
"true","fullscreen","0","7338","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","7343","0.0-1.0","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","21835","0.0-2.0","14490.100000023842","<div class='center'><p>Welcome! This is the second day of the experiment. This part will last ~30 minutes. </p><br><p>Just as a reminder, you are the head captain of a pirate ship traveling around the world to different places. </p><p>Today,you’ve arrived at the final destination of your journey!</p><p> Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the places you visited yesterday.</p><p>You’ll still be deciding which pirates you want to rob ships. Because of the fog, however, you won't be able to see which ship your chosen pirate is robbing. </p><p><b>[Press the space bar to go over the instructions]</b></p></div>","32","6148c992c6bba7885c57750a","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","31085","0.0-3.0","9249.399999976158","<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","39400","0.0-4.0","8313.5","<div class='center'><p>Unlike yesterday, sometimes you’ll be asked if you’ve seen a ship before (see the example below). You will use the 5, 6, 7, 8 buttons on your keyboard to respond. </p><p> If you definitely did not see the ship, pick the the big red thumbs down by pressing <b>5</b>.</p><p> If you don’t think you saw it but aren’t sure, then pick the small red thumbs down by pressing <b>6</b>.</p><p> If you think you might have seen it, then pick the small green thumbs up by pressing <b>7</b>.</p><p> If you definitely did see this ship before, then pick the big thumb green thumbs up by pressing <b>8</b>.</p><p> If you recall it correctly, then you’ll get a gold coin!</p><p><b>[Press the space bar to the experiment]</b></p><p><img src='run_exp/static/images/example_recog_trial.png' height='500'></p></div>","32","","","","","","","","","","","","","","","","",""
"","do_welcome","5","40922","0.0-5.0-0.0","null","","","","null","","","","","","","","","","","","","","",""
"","do_trial","6","47028","0.0-6.0-0.0","null","","","","null","1,0,1","6","blank","240","null","0.07723206666724712","0.43787020152110806","1","","","","","","",""
"","do_trial","7","49984","0.0-7.0-0.0","369.60000002384186","","","","50","0,0,1","6","blank","241","null","0.07853317112004726","0.3157029962780324","0.8340867522124605","0","","","","","",""
"","do_trial","8","53186","0.0-8.0-0.0","616","","","","49","0,0,1","6","blank","242","null","0.19973034518254665","0.37370760128335845","0.8733525482694738","0","","","","","",""
"","do_trial","9","56024","0.0-9.0-0.0","257.60000002384186","","","","51","0,0,1","6","blank","243","null","0.18857302516921898","0.29260245859573336","0.8293916092698689","1","","","","","",""
"","do_recog","10","62060","0.0-10.0-0.0","null","","","","null","","","","244","probe-43","","","","","1","[object Object]","127","3","0",""
"","do_trial","11","65273","0.0-11.0-0.0","630.5","","","","51","0,0,1","6","blank","245","null","0.1891063954719745","0.35049134666307064","0.7433725509169803","1","","","","","",""
"","do_recog","12","67157","0.0-12.0-0.0","374.2000000476837","","","","56","","","","246","probe-253","","","","","0","[object Object]","null","null","0",""
"","do_trial","13","70321","0.0-13.0-0.0","583","","","","51","1,0,1","6","blank","247","null","0.2956539952594975","0.27269215791778484","0.7747718328555377","1","","","","","",""
"","do_trial","14","73741","0.0-14.0-0.0","840","","","","51","0,1,1","6","blank","248","null","0.17653143071975705","0.3595701990152782","0.6968285875052399","1","","","","","",""
"","do_trial","15","76982","0.0-15.0-0.0","666.6999999880791","","","","51","0,0,0","6","blank","249","null","0.12086512529733998","0.3798148907929497","0.6303315704881426","0","","","","","",""
