"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","context_id"
"true","fullscreen","0","2966","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","2969","0.0-1.0","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","5030","0.0-2.0","2059","<div class='center'><p>Welcome! This is the second day of the experiment. This part will last ~30 minutes. </p><br><p>Just as a reminder, you are the head captain of a pirate ship traveling around the world to different places. </p><p>Today,you’ve arrived at the final destination of your journey!</p><p> Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the places you visited yesterday.</p><p>You’ll still be deciding which pirates you want to rob ships. Because of the fog, however, you won't be able to see which ship your chosen pirate is robbing. </p><p><b>[Press the space bar to go over the instructions]</b></p></div>","32","612c330bcefb80896133254b","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","7029","0.0-3.0","1999","<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","19573","0.0-4.0","12545.000000000007","<div class='center'><p>Unlike yesterday, sometimes you’ll be asked if you’ve seen a ship before (see the example below). You will use the 5, 6, 7, 8 buttons on your keyboard to respond. </p><p> If you definitely did not see the ship, pick the the big red thumbs down by pressing <b>5</b>.</p><p> If you don’t think you saw it but aren’t sure, then pick the small red thumbs down by pressing <b>6</b>.</p><p> If you think you might have seen it, then pick the small green thumbs up by pressing <b>7</b>.</p><p> If you definitely did see this ship before, then pick the big thumb green thumbs up by pressing <b>8</b>.</p><p> If you recall it correctly, then you’ll get a gold coin!</p><p><b>[Press the space bar to the experiment]</b></p><p><img src='run_exp/static/images/example_recog_trial.png' height='500'></p></div>","32","","","","","","","","","","","","","","","","",""
"","do_welcome","5","21083","0.0-5.0-0.0","null","","","","null","","","","","","","","","","","","","","",""
"","do_trial","6","27114","0.0-6.0-0.0","null","","","","null","1,1,1","6","blank","240","null","0.44233716945665114","1","0.2789944874668733","","","","","","",""
"","do_recog","7","33120","0.0-7.0-0.0","4958.000000000007","","","","54","","","","241","probe-248","","","","","0","[object Object]","null","null","1",""
"","do_trial","8","37640","0.0-8.0-0.0","1991.0000000000073","","","","50","0,1,0","6","blank","242","null","0.45512702033358104","0.8042413320087612","0.4187322036272113","1","","","","","",""
"","do_trial","9","41640","0.0-9.0-0.0","1472.0000000000073","","","","49","1,1,0","6","blank","243","null","0.3612740906332561","0.8133314910769106","0.3493606929374915","1","","","","","",""
