"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct","context_id"
"true","fullscreen","0","4354","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","4360","0.0-1.0","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","14860","0.0-2.0","10499.399999976158","<div class='center'><p>Welcome! This is the second day of the experiment. This part will last ~30 minutes. </p><br><p>Just as a reminder, you are the head captain of a pirate ship traveling around the world to different places. </p><p>Today,you’ve arrived at the final destination of your journey!</p><p> Unfortunately, it’s very foggy out, so you won’t be able to see it in the distance like the places you visited yesterday.</p><p>You’ll still be deciding which pirates you want to rob ships. Because of the fog, however, you won't be able to see which ship your chosen pirate is robbing. </p><p><b>[Press the space bar to go over the instructions]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","26244","0.0-3.0","11382.5","<div class='center'><p>Like yesterday,as the head captain of the ship, you have one important things to do: </p><b><p> Pick the pirate who you think will be most successful at robbing the next ship.</p></b><p>This is important in determining how much bonus money you’ll win.</p><br><p>The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. </p><p> Press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","36897","0.0-4.0","10651.699999988079","<div class='center'><p>Unlike yesterday, sometimes you’ll be asked if you’ve seen a ship before (see the example below). You will use the 5, 6, 7, 8 buttons on your keyboard to respond. </p><p> If you definitely did not see the ship, pick the the big red thumbs down by pressing <b>5</b>.</p><p> If you don’t think you saw it but aren’t sure, then pick the small red thumbs down by pressing <b>6</b>.</p><p> If you think you might have seen it, then pick the small green thumbs up by pressing <b>7</b>.</p><p> If you definitely did see this ship before, then pick the big thumb green thumbs up by pressing <b>8</b>.</p><p> If you recall it correctly, then you’ll get a gold coin!</p><p><b>[Press the space bar to the experiment]</b></p><p><img src='run_exp/static/images/example_recog_trial.png' height='500'></p></div>","32","","","","","","","","","","","","","","","",""
"","do_welcome","5","38419","0.0-5.0-0.0","null","","","null","","","","","","","","","","","","","","",""
"","do_trial","6","43673","0.0-6.0-0.0","2698.400000035763","","","51","1,0,0","6","blank","240","null","1","0.47441421441972914","0.3222973589680885","0","","","","","",""
"","do_recog","7","49686","0.0-7.0-0.0","null","","","null","","","","241","probe-18","","","","","1","[object Object]","43","1","0",""
"","do_trial","8","53248","0.0-8.0-0.0","1006.3000000119209","","","51","1,0,0","6","blank","242","null","0.8855925725120386","0.33156118136616625","0.2408824366457919","0","","","","","",""
"","do_recog","9","56591","0.0-9.0-0.0","1830.699999988079","","","55","","","","243","probe-104","","","","","1","[object Object]","168","4","1",""
"","do_trial","10","60965","0.0-10.0-0.0","1818.8999999761581","","","50","1,0,0","6","blank","244","null","0.865181765014934","0.36385784883918426","0.0982504030065552","0","","","","","",""
"","do_trial","11","64885","0.0-11.0-0.0","1369.199999988079","","","51","1,0,0","6","blank","245","null","0.6966705631083702","0.5019142761982152","0.1946197665583469","0","","","","","",""
"","do_trial","12","67671","0.0-12.0-0.0","233.9000000357628","","","49","1,0,0","6","blank","246","null","0.8773290030828669","0.42054988954373174","0.0629179677818261","1","","","","","",""
"","do_trial","13","71037","0.0-13.0-0.0","811.1000000238419","","","50","1,1,0","6","blank","247","null","0.9088605363088934","0.4028143489555739","0.1009892123434512","1","","","","","",""
"","do_recog","14","76199","0.0-14.0-0.0","3654.399999976158","","","54","","","","248","probe-05","","","","","1","[object Object]","165","4","0",""
"","do_trial","15","79357","0.0-15.0-0.0","604.7999999523163","","","51","1,0,0","6","blank","249","null","0.9143585786305313","0.43982092989552385","0.08673979124543976","0","","","","","",""
"","do_recog","16","85372","0.0-16.0-0.0","null","","","null","","","","250","probe-185","","","","","1","[object Object]","83","2","0",""
"","do_trial","17","88443","0.0-17.0-0.0","520.5","","","50","1,1,0","6","blank","251","null","0.8222658549256916","0.4469932399418079","0.0712875721576724","1","","","","","",""
"","do_recog","18","91194","0.0-18.0-0.0","1238","","","54","","","","252","probe-211","","","","","1","[object Object]","84","2","0",""
"","do_trial","19","95416","0.0-19.0-0.0","1669.5","","","50","0,0,0","6","blank","253","null","0.7560352836984481","0.5134047547663652","0.09890133789089149","0","","","","","",""
"","do_recog","20","98600","0.0-20.0-0.0","1675.5","","","55","","","","254","probe-164","","","","","1","[object Object]","81","2","1",""
"","do_trial","21","101909","0.0-21.0-0.0","756","","","51","1,1,1","6","blank","255","null","0.7551438022177128","0.277452108981853","0.05779671673782499","1","","","","","",""
"","do_trial","22","105081","0.0-22.0-0.0","620.0999999642372","","","50","0,0,0","6","blank","256","null","0.6535266113926627","0.232715209222829","0.4446998847911745","0","","","","","",""
"","do_recog","23","108366","0.0-23.0-0.0","1776.5","","","54","","","","257","probe-53","","","","","1","[object Object]","88","2","0",""
"","do_trial","24","111810","0.0-24.0-0.0","889.3000000119209","","","51","0,0,1","6","blank","258","null","0.7526166004473646","0.10359598046640564","0.5817412709616151","1","","","","","",""
"","do_recog","25","114121","0.0-25.0-0.0","802.8000000119209","","","55","","","","259","probe-111","","","","","1","[object Object]","125","3","1",""
"","do_trial","26","117535","0.0-26.0-0.0","859.7999999523163","","","49","0,1,1","6","blank","260","null","0.6662271873978375","0.21741661046706212","0.6245724833780176","0","","","","","",""
"","do_trial","27","120506","0.0-27.0-0.0","416","","","50","1,0,0","6","blank","261","null","0.6723676802107086","0.26357442475923054","0.6136084704686526","0","","","","","",""
"","do_trial","28","123496","0.0-28.0-0.0","435.5999999642372","","","49","1,0,1","6","blank","262","null","0.6493271376520212","0.0792846905639281","0.7012282153980749","1","","","","","",""
"","do_trial","29","126917","0.0-29.0-0.0","867.3999999761581","","","51","0,0,1","6","blank","263","null","0.4258257111175624","0.14906574169399753","0.7725928924379984","1","","","","","",""
"","do_trial","30","129932","0.0-30.0-0.0","462.69999998807907","","","49","0,0,0","6","blank","264","null","0.4854314793808666","0.10999373087349852","0.7505778478940431","0","","","","","",""
"","do_recog","31","133132","0.0-31.0-0.0","1689.699999988079","","","54","","","","265","probe-221","","","","","1","[object Object]","85","2","0",""
"","do_trial","32","136442","0.0-32.0-0.0","756.6999999880791","","","51","1,0,1","6","blank","266","null","0.47663392206431504","0.1706857729658781","0.7334405599632237","1","","","","","",""
"","do_recog","33","139150","0.0-33.0-0.0","1195.4000000357628","","","55","","","","267","probe-157","","","","","1","[object Object]","41","1","1",""
"","do_trial","34","142473","0.0-34.0-0.0","768.6000000238419","","","50","1,0,0","6","blank","268","null","0.5069034325691093","0.26899144677256903","0.7778495150717021","0","","","","","",""
"","do_recog","35","145610","0.0-35.0-0.0","1627.6000000238419","","","54","","","","269","probe-244","","","","","0","[object Object]","null","null","1",""
"","do_trial","36","149037","0.0-36.0-0.0","875.5","","","51","1,0,0","6","blank","270","null","0.5260924687108278","0.21297079436133434","0.7923711758090332","0","","","","","",""
