"parameter","estimate"
"(Intercept)",-0.66671656434553
"identity",0.971440287090724
"reward_1",0.708644733225291
"reward_2",0.272169417108351
"reward_3",0.185550973801837
"probed_identity",0.0767193679063478
"probed_reward",0.0455429888052816
"context_rwd",0.179762520240037
