"participant_id","Intercept","reward_1","reward_2","reward_3","probed_identity","probed_reward","context_rwd"
"22",0,-0.149885674495062,-0.0924637210661128,-0.0853633289312054,0.951302258064127,0.225685911150192,-0.365015574610445
"29",0,-0.45100005225153,0.0153770747365642,0.168924668695904,-0.22609414557917,0.0831657359818726,0.40302343716645
"42",0,0.18535977530655,0.168310777573742,0.181299332663583,-0.0201260509136177,-0.0393523826966123,-0.0281613574354956
"70",0,0.868905936929551,0.296273876756587,0.106998194896697,-0.100608099976874,-0.0553593583874558,-0.0329881527522945
"71",0,-0.090001976411206,0.0342993807976225,0.105139402388222,0.210587196043702,0.150079140164324,0.165219536519691
"72",0,0.00537561854678467,-0.050900790288436,-0.0875845985542698,0.172329045542798,-0.0784108152129128,-0.333026867066176
"104",0,-0.497396400111864,-0.21403565926943,-0.137758800389615,0.248307292302181,0.0224407427493236,-0.185352801588497
"124",0,0.154491743607771,0.266650204753385,0.292102047995302,-0.165705977582278,0.0216345692566019,0.2231994360373
"132",0,-0.45439060009737,-0.258580906742028,-0.221484309232994,-0.244928189604805,-0.291585299474391,-0.430396493414962
"136",0,-0.612713548733293,-0.198947749949252,-0.111143626585638,-0.0249601494501622,0.040791900945572,0.0749955224465172
"139",0,-0.307732345811879,0.11657727566572,0.21080712834389,0.0408555847041392,-0.140647563890069,-0.307460369990923
"171",0,-0.106322203868749,-0.0608357021839282,-0.117528250765455,0.0300893740194736,-0.0811229754738287,-0.249735664537072
"179",0,-0.187142875341325,0.114052328057487,0.129464373327159,0.0771740673042116,-0.0522071854049267,-0.194911280306483
"190",0,-0.152414511685716,-0.0111787547221776,0.0324576763250208,-0.231002029385328,-0.0426624886058491,0.117056846770857
"191",0,-0.241683377716909,-0.0836814393584961,0.0322225839278974,-0.497408290126474,-0.0364777058171184,0.397410929035274
"220",0,-0.315808739709027,-0.183591472333745,-0.208363983021384,-0.285068276122111,0.016596448354336,0.21246459884338
"225",0,-0.355774389787536,-0.000848952254586255,0.0794424423795129,0.235524832237115,-0.064263905092545,-0.331834838201333
