subject_id,age,measure,score
625.0,10.0,rec,0.4274193548387097
625.0,10.0,all,0.6086956521739131
737.0,11.0,ldi,-0.34375
737.0,11.0,rec,0.9375
737.0,11.0,all,0.53125
171.0,8.0,ldi,0.16881720430107527
171.0,8.0,rec,0.6129032258064515
171.0,8.0,all,0.5978260869565217
738.0,11.0,ldi,-0.21875
738.0,11.0,rec,0.8729838709677419
738.0,11.0,all,0.5473684210526316
717.0,9.0,ldi,0.05141129032258063
717.0,9.0,rec,0.43245967741935487
717.0,9.0,all,0.49473684210526314
716.0,12.0,ldi,0.65625
716.0,12.0,rec,1.0
716.0,12.0,all,0.8854166666666666
592.0,23.0,ldi,-0.28125
592.0,23.0,rec,0.875
592.0,23.0,all,0.53125
658.0,16.0,ldi,0.625
658.0,16.0,rec,0.875
658.0,16.0,all,0.8333333333333334
659.0,13.0,ldi,0.34375
659.0,13.0,rec,0.78125
659.0,13.0,all,0.7083333333333334
875.0,25.0,ldi,0.71875
875.0,25.0,rec,0.8125
875.0,25.0,all,0.84375
401.0,9.0,ldi,0.1663306451612903
401.0,9.0,rec,0.875
401.0,9.0,all,0.6842105263157895
472.0,24.0,ldi,0.3125
472.0,24.0,rec,0.84375
472.0,24.0,all,0.71875
804.0,14.0,ldi,0.38810483870967744
804.0,14.0,rec,0.8125
804.0,14.0,all,0.7368421052631579
179.0,20.0,ldi,0.625
179.0,20.0,rec,0.75
179.0,20.0,all,0.7916666666666666
787.0,22.0,ldi,0.6875
787.0,22.0,rec,0.9375
787.0,22.0,all,0.875
386.0,25.0,ldi,0.1875
386.0,25.0,rec,0.625
386.0,25.0,all,0.6041666666666666
959.0,17.0,ldi,0.28125
959.0,17.0,rec,0.71875
959.0,17.0,all,0.6666666666666666
957.0,14.0,ldi,0.4375
957.0,14.0,rec,0.9021505376344086
957.0,14.0,all,0.7741935483870968
916.0,8.0,ldi,-0.03830645161290322
916.0,8.0,rec,0.5181451612903225
916.0,8.0,all,0.49473684210526314
